Dates,SP500,Cons Disc,Cons Staples,Energy,Financials,Health,Industrials,Info Tech,Materials,Telecom,Utilities
8/7/1991,0.000248103,0.002825051,0.001535116,-0.002854087,0.001463915,0.001554002,0.002848812,-0.010774325,0.000399707,-0.004103973,0.003213847
8/8/1991,-0.003026541,0.003218887,-0.006154655,-0.010655593,-0.002343293,-0.005709852,-0.000677553,-0.003931198,-0.000532978,-0.00205832,0.000370165
8/9/1991,-0.0053527,-0.006448169,-0.003220615,-0.009068438,-0.00440853,-0.003650591,-0.003802802,-0.007151031,-0.009238869,-0.003715686,-0.003460211
8/12/1991,0.002611887,0.004169194,0.001289491,-0.001458612,0.021418463,0.001879111,-0.00217954,0.002032203,-0.001480784,0.001515465,0.002719745
8/13/1991,0.004164881,0.009616743,0.00642263,-0.001460743,0.01771728,0.003020049,0.000545331,0.00718602,-0.003779192,-0.003447566,0.003696862
8/14/1991,0.000857982,0.002654986,0.005108568,-0.005374387,0.004662672,-0.000728143,-0.002046525,0.005632294,-0.001488599,0.001380453,0.000491884
8/15/1991,-0.001400244,-0.008922091,0.00063674,0.000612182,-0.007783242,0.001663548,-0.001229928,-0.006957926,0.001894196,0.00673681,0.00196512
8/16/1991,-0.00951469,-0.012788759,-0.006513849,-0.00232829,-0.008560475,-0.010442869,-0.008652117,-0.021323869,-0.011692859,-0.013241573,-0.005906982
8/19/1991,-0.023711416,-0.03039915,-0.025699013,-0.006894032,-0.029223567,-0.024871087,-0.024716751,-0.023604372,-0.02801459,-0.025880488,-0.015548544
8/20/1991,0.007842812,0.006681539,0.012153041,0.004929154,0.013482033,0.005794629,0.005358163,0.007299873,0.003930381,0.009360443,0.010723295
8/21/1991,0.029015354,0.037174953,0.030948762,0.018391603,0.028554921,0.033252222,0.032785286,0.021711789,0.031034833,0.025642431,0.018189023
8/22/1991,0.001934715,-0.002141042,0.005149795,0.004695692,-0.004537084,-0.001346383,0.005293531,-0.003255854,0.010000083,0.001237539,0.002311296
8/23/1991,0.007233183,0.010659661,0.003002254,0.004673746,-0.000710783,0.003517488,0.015981002,0.006880999,0.017857617,0.00766602,-0.000729306
8/26/1991,-0.000468682,-0.00066291,-0.004130427,-0.00143575,-0.000426712,0.00237248,-0.001733449,0.001542252,0.003691501,0.000272702,0.000243161
8/27/1991,-0.00178747,-0.001061571,-0.003140509,0.002391773,-0.00527781,0.001132678,-0.005889456,0.003941954,-0.006336655,-0.001227747,0.000486145
8/28/1991,0.009215834,0.011484517,0.011508759,0.010929071,0.00911168,0.012680403,0.007622906,-0.000959836,0.00620505,0.007072935,0.008228507
